workerid,nonliteral,happy1,sad1,amuse1,content1,disapp1,anger1,regret1,happy2,sad2,amuse2,content2,disapp2,anger2,regret2,response1ReactionTime,response2ReactionTime,freeResponseReactionTime,consent,ventingResponseLength,ventingResponse,gender,age,nativeLanguage
62,0,3,5,5,3,7,5,5,5,5,3,5,4,6,4,64364,222249,53777,1,297,I got really annoyed at this kid while we were at a high school band trip together. I was already irritated and he angered me even more. He was almost purposely provoking me and it caused me to get more angry. I ended up punching him in the face. I was that angry that I risked getting in trouble.,M,18,english
63,1,2,7,3,4,7,6,8,3,5,3,5,7,6,7,19673,16918,79367,0,367,I was going to meet her for dinner and she texted me a really long time before hand to let me know she would be late; all of 2 minutes before we were supposed to meet; so that is perfectly understandable; right? She then made me wait at the restaurant for the next 30 minutes; because my time isn't worth anything to her. Finally she showed up like nothing was wrong.,F,25,English
64,1,9,9,9,9,9,9,9,1,6,2,1,9,9,9,15975,16818,146456,1,710,A \friend\ of mine who I have known for 20 years that I knew is basically a prick had taken advantage of me on several occasions. Offering me to do side jobs with him and then attempting to pay me little for my work. Then the last couple side jobs I did with him; he just never payed me in full. I also I had lent him $100 with my tax return that he assured I would get the following Friday and here we are 3 plus years later and I've yet to see that money. The only time he seems to call is when he needs a favor and not to mention he screwed my mom over on some side work he did for her. I texted this guy a few weeks back and told him to keep the money he owes me and to stick it where the sun don't shine. ,M,38,English
65,1,1,1,1,1,1,8,1,1,1,1,1,1,8,1,16692,10257,131595,1,265,I was told to find a job and make \good use\ of my time; as if finding a job is that easy. They thought \oh just apply and you'll reply\ thinking that 1 day is enough time for them to take in applications. As if companies check applications the moment they come in.,M,22,English
66,1,2,3,3,3,2,2,5,2,4,4,3,2,3,2,27234,26040,112784,1,334,It was the time I was lead of a project and had to be assertive on action items being completed by the team. I had to be very clear and concise on what people had to do and when. The project went well thanks to me being very assertive to meet deadlines but a fellow employee made me mad because she didn't want to do her action items.,M,36,English
67,1,3,6,3,3,8,5,5,3,4,3,3,7,7,4,9783,5502,78695,1,340,One of my friends wanted to golf on my team in a golf scramble.  He literally told me he couldn't so I asked someone else.  A few weeks later he told me he could and assumed he was going to play with us.  I told him he couldn't because I asked someone else.  He got upset at me for that.  I got upset because he was being very unreasonable.,M,25,English
68,0,1,3,2,1,4,9,5,1,1,1,1,7,9,2,15665,166908,82476,1,421,My husband always forgets what he promises to do. He will say he will take care of something then it will go undone for weeks. When I finally get around to doing it he gets upset as if he was going to do it. It pisses me off because this happened the other night with unloading the dishwasher. It's not that hard. I was so mad because he promised he would do it and I don't want to nag but damn I need some dishes to use!,F,26,english
69,1,1,1,1,1,1,5,3,1,1,1,1,1,5,3,16738,6893,106531,1,280,He sure was a good friend. He even left me his dead car in my driveway for 6 whole months. What a swell guy; leaving all that stuff in his old bedroom for me to go through and clean up. I hope this guy has a great life with all that money from that month of rent he never paid me!,M,24,english
70,1,5,4,6,7,4,4,4,8,4,6,7,3,3,4,13396,7918,84180,0,259,Because he made some bad jokes. I really font like to taste these kind of jokes but yeea i'm his best friend of course. And I love your jokes so much that i can count on you. Really? How to tell him that this thing disturb me very much? hmm i dont know really,M,33,english
71,0,3,7,1,1,7,8,7,3,6,1,5,6,6,4,19780,15965,93572,1,360,My ex-wife decided to tell my father that I had a gambling problem; though I had been to a casino only one time with some friends.  She was trying to make me look bad in the eyes of both my family and the divorce judge; though she was having an affair with her boss.  My father bought her lies; and my relationship with him was ruined for the next decade plus.,M,42,English
72,1,1,1,1,1,3,9,5,1,9,1,1,7,9,9,24129,12024,315939,1,338,I had come to visit my parents for the weekend because I live 5 hours away. I dont get along with my father and I get really uncomfortable when he is around my daughter. This time he carried her without my permission failed to tell me he had a cold and 2 days after my daughter had a cold too. It was her first cold so I was angry at him.,F,28,english
73,0,4,3,2,3,5,6,3,3,2,1,2,4,6,5,20672,11762,254670,1,301,I coworker got angry because he thought I had screwed up something. I tried explaining what happened and how it wasn't my fault but he kept talking over me and interrupting. It was very annoying not being able to explain the actual issue and instead just dealing with someone being rude and impatient.,M,32,English
74,1,4,6,2,2,5,8,6,3,7,3,2,7,8,7,24168,14992,208190,1,1164,I remember a time when I was trying to decide whether or not to take a job that was across country.  It would be a great boost to my career in terms of pay; prestige; and influence within the company that I was working in; however I hesitated because it would mean having to move away from my friends and family that I so much loved and cared for.  My mother; bless her heart; was TRYING to be supportive of me during this time that I was trying to decide what to do; but in her way; she was being a BIT selfish in trying to; subtlety; steer me towards not pursuing the course of action and staying in my old position; (ie. subtle in that she never came right out and SAID I shouldn't take it; but would offer support but then also give a bit of a back-hand comment on the idea of moving; \oh it would be so hard to move that far away\ or \wow; that would be a ton of extra responsibility\)  In her way; she was TRYING to help me; but in doing so; was becoming more of a distraction then an actual support.  I know my mom cares about me deeply; and wanted me to do whatever I felt was right; but I really didn't need that type of distraction at that point in time.,F,40,English
75,0,1,3,1,4,3,5,3,5,1,1,6,1,1,1,32770,16656,172136,undefined,400,I was at work; this event happened a few days ago. I am new at my job and at this point I had not yet learned how to to some things that I have now. So the manager had me working on cleaning and organizing stuff. I had a question for her so I went into her office. As I was starting to ask her the question she interupted me and told me off about something trivial; it was kind of upsetting and rude.,F,18,English
76,1,4,4,2,2,6,7,3,2,6,5,3,6,8,3,22630,19808,265951,1,1097,My husband and I had a date planned; mind you it was a stay at home date. With two kids under two and no babysitter; all of our dates are at home once the kids are in bed. We were going to make popcorn and watch a relatively new movie. Nothing fancy; really; but that point is that we had plans together. Earlier that day; we were shopping for groceries; and he ran into one of his colleagues. The colleague then proceeded to beg him to come over that night to play darts and drink a few beers. I told him that would be fine as long as he wasn't there very long so we could still have our date. Lo and behold! He was gone for almost three hours and did not come home until almost 10 o'clock! When he arrived home I was getting ready for bed; obviously pissed off like no ones business! How could he blow me off like that? I was incredibly offended that he would treat me like I didn't matter and that I would wait up for him. I'm stuck in the middle of nowhere with no family near by because of HIS career; and he expects me to be okay with that behavior? Nope! He was in the dog house that night.,F,24,English
77,1,4,6,1,1,6,5,3,3,6,4,5,7,6,2,23297,21767,122709,1,333,The last time I had work at Dominos pizza I delivered pizzas for about 5 hours of work. In total I made about half of what I usually make in about 3 hours of work. Throughout the day I was confused about why I kept getting stiffed but by the end of the day when I found out how much I made in total I was both angry and disappointed.,M,26,English
